team,opponent,##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,date,time,site,team_score,opponent_score
George Mason,Loyola Maryland,23,"23 Mitchell,Nekhu",,7,1-1,0-0,0-0,1-1,2,1,0,0,0,0,2,11/19/22,3:00 PM,"EagleBank Arena, Fairfax, VA",66,58
George Mason,Loyola Maryland,TM,TM TEAM,,0,0-0,0-0,0-0,2-0,2,0,0,3,0,0,0,11/19/22,3:00 PM,"EagleBank Arena, Fairfax, VA",66,58
Loyola Maryland,Bryant,45,"45 Therien, Lex",*,22,5-11,0-1,6-8,4-6,10,4,0,2,0,1,16,11/21/22,6:00 PM,"Chace Athletic Center, Smithfield, RI",69,64
Loyola Maryland,Bryant,04,"04 Dixon, Taleah",*,34,4-14,2-6,4-6,0-0,0,1,1,1,0,2,14,11/21/22,6:00 PM,"Chace Athletic Center, Smithfield, RI",69,64
Loyola Maryland,Bryant,22,"22 Rozzi, Bri",*,31,4-11,2-7,4-4,0-0,0,2,5,0,0,1,14,11/21/22,6:00 PM,"Chace Athletic Center, Smithfield, RI",69,64
Loyola Maryland,Bryant,13,"13 Tañedo, Caramina",*,35,4-5,4-5,0-0,1-1,2,1,2,3,0,3,12,11/21/22,6:00 PM,"Chace Athletic Center, Smithfield, RI",69,64
Loyola Maryland,Bryant,10,"10 Sims, Koi",*,33,2-9,0-0,1-2,3-9,12,1,2,2,0,3,5,11/21/22,6:00 PM,"Chace Athletic Center, Smithfield, RI",69,64
Loyola Maryland,Bryant,01,"01 Ratigan, Kelly",,7,1-1,1-1,0-0,0-0,0,0,0,1,0,0,3,11/21/22,6:00 PM,"Chace Athletic Center, Smithfield, RI",69,64
Loyola Maryland,Bryant,11,"11 Glezen, Emma",,14,1-1,0-0,0-0,1-2,3,2,3,0,0,0,2,11/21/22,6:00 PM,"Chace Athletic Center, Smithfield, RI",69,64
Loyola Maryland,Bryant,23,"23 Espinal, Marta",,9,1-1,0-0,0-0,3-0,3,3,2,1,0,0,2,11/21/22,6:00 PM,"Chace Athletic Center, Smithfield, RI",69,64
Loyola Maryland,Bryant,12,"12 Garcia, Cristina",,14,0-2,0-0,1-5,0-1,1,0,0,0,0,0,1,11/21/22,6:00 PM,"Chace Athletic Center, Smithfield, RI",69,64
Loyola Maryland,Bryant,02,"02 Van-Otoo, Meliah",,1,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,11/21/22,6:00 PM,"Chace Athletic Center, Smithfield, RI",69,64
Loyola Maryland,Bryant,TM,TM TEAM,,0,0-0,0-0,0-0,2-0,2,0,0,0,0,0,0,11/21/22,6:00 PM,"Chace Athletic Center, Smithfield, RI",69,64
Bryant,Loyola Maryland,05,"05 Planes Fortuny,Mariona",*,24,7-10,0-0,1-2,3-2,5,4,0,2,2,0,15,11/21/22,6:00 PM,"Chace Athletic Center, Smithfield, RI",64,69
Bryant,Loyola Maryland,24,"24 Bodziony,Megan",*,29,5-13,0-1,0-0,0-4,4,4,2,4,0,0,10,11/21/22,6:00 PM,"Chace Athletic Center, Smithfield, RI",64,69
Bryant,Loyola Maryland,04,"04 Castagne,Lucie",*,35,4-7,1-1,0-0,0-2,2,1,0,1,0,1,9,11/21/22,6:00 PM,"Chace Athletic Center, Smithfield, RI",64,69
Bryant,Loyola Maryland,21,"21 Gallagher,Nicole",*,31,3-6,2-4,0-0,2-2,4,4,3,4,0,1,8,11/21/22,6:00 PM,"Chace Athletic Center, Smithfield, RI",64,69
Bryant,Loyola Maryland,33,"33 Martinez,Marta Neira",*,18,1-4,0-0,0-0,0-2,2,4,1,2,0,0,2,11/21/22,6:00 PM,"Chace Athletic Center, Smithfield, RI",64,69
Bryant,Loyola Maryland,10,"10 Reynolds,Kemari",,19,3-5,0-0,2-4,1-1,2,3,0,3,0,2,8,11/21/22,6:00 PM,"Chace Athletic Center, Smithfield, RI",64,69
Bryant,Loyola Maryland,15,"15 Kiefer,Dana",,22,2-4,1-2,1-2,3-4,7,0,0,1,1,1,6,11/21/22,6:00 PM,"Chace Athletic Center, Smithfield, RI",64,69
Bryant,Loyola Maryland,13,"13 Berens,Jessica",,16,1-3,0-0,4-4,1-0,1,1,1,0,0,1,6,11/21/22,6:00 PM,"Chace Athletic Center, Smithfield, RI",64,69
Bryant,Loyola Maryland,00,"00 Perkins,Alana",,6,0-2,0-2,0-0,0-1,1,0,0,1,0,0,0,11/21/22,6:00 PM,"Chace Athletic Center, Smithfield, RI",64,69
Bryant,Loyola Maryland,TM,TM TEAM,,0,0-0,0-0,0-0,2-3,5,0,0,0,0,0,0,11/21/22,6:00 PM,"Chace Athletic Center, Smithfield, RI",64,69
Delaware St.,Loyola Maryland,03,"03 Moragne,Alexis",*,36,4-8,2-3,3-6,0-3,3,4,1,3,0,0,13,11/26/22,2:00 PM,"Reitz Arena, Baltimore, MD",51,60
Delaware St.,Loyola Maryland,01,"01 Wilson,Denijsha",*,38,4-7,0-0,4-4,0-1,1,3,2,7,0,2,12,11/26/22,2:00 PM,"Reitz Arena, Baltimore, MD",51,60
Delaware St.,Loyola Maryland,23,"23 Brooks,Savannah",*,39,3-12,1-2,4-6,1-1,2,2,0,3,0,0,11,11/26/22,2:00 PM,"Reitz Arena, Baltimore, MD",51,60
Delaware St.,Loyola Maryland,22,"22 Tollie,Tyshonne",*,29,4-5,0-0,2-2,2-1,3,2,1,4,0,4,10,11/26/22,2:00 PM,"Reitz Arena, Baltimore, MD",51,60
Delaware St.,Loyola Maryland,10,"10 Martino,Jessica",*,30,0-1,0-0,3-4,1-5,6,3,0,2,1,0,3,11/26/22,2:00 PM,"Reitz Arena, Baltimore, MD",51,60
Delaware St.,Loyola Maryland,02,"02 Zulueta,Noami",,17,1-1,0-0,0-0,0-1,1,3,1,1,1,1,2,11/26/22,2:00 PM,"Reitz Arena, Baltimore, MD",51,60
Delaware St.,Loyola Maryland,20,"20 Watkins,Sydney",,6,0-1,0-1,0-0,0-0,0,1,0,0,0,0,0,11/26/22,2:00 PM,"Reitz Arena, Baltimore, MD",51,60
