Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT,FTM/A,PCT,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG,Link,Date
at Georgetown,11/13/18,30-45,L,11-50,.220,3-15,.200,5-6,.833,11,26,37,37.7,17,5,15,4,4,30,36.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/8668,2018-19
vs William & Mary,11/17/18,49-65,L,18-44,.409,4-12,.333,9-20,.450,7,21,28,35.3,15,13,16,4,9,49,39.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/8669,2018-19
at Boston College,11/24/18,47-73,L,17-52,.327,6-16,.375,7-12,.583,9,13,22,32.6,18,6,16,0,7,47,41.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/8670,2018-19
at Saint Joseph's,11/25/18,46-49,L,15-51,.294,5-14,.357,11-15,.733,8,25,33,32.7,22,10,14,2,8,46,41.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/8671,2018-19
vs Mount St. Mary's,12/01/18,67-77,L,18-56,.321,2-17,.118,29-34,.853,10,18,28,32.0,21,10,13,2,10,67,45.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/8672,2018-19
at Towson,12/04/18,57-62,L,21-67,.313,9-25,.360,6-8,.750,8,19,27,31.4,20,11,15,1,9,57,46.9,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/8673,2018-19
vs St Francis Brooklyn,12/07/18,70-75,L,28-82,.341,5-29,.172,9-12,.750,12,30,42,32.6,21,14,14,1,15,70,49.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/8674,2018-19
at Maryland,12/10/18,48-83,L,16-54,.296,12-27,.444,4-4,1.000,11,17,28,32.1,13,13,15,1,6,48,49.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/8675,2018-19
at Monmouth,12/22/18,75-67,W,27-58,.466,10-23,.435,11-20,.550,13,22,35,32.4,15,20,13,2,15,75,51.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/8676,2018-19
vs Navy,01/03/19,46-58,L,19-68,.279,5-19,.263,3-6,.500,15,20,35,32.6,11,13,11,4,11,46,51.2,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9136,2018-19
at Army,01/06/19,57-69,L,25-64,.391,4-17,.235,3-6,.500,9,23,32,32.5,23,9,12,5,10,57,51.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9137,2018-19
vs Boston University,01/09/19,62-64,L,23-66,.348,5-23,.217,11-16,.688,21,25,46,33.5,21,13,16,2,7,62,52.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9138,2018-19
