team,opponent,##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
Loyola Maryland 60,Delaware St. 51,45,"45 Therien, Lex",*,21,3-10,0-0,0-0,2-2,4,5,0,5,0,1,6
Loyola Maryland 60,Delaware St. 51,10,"10 Sims, Koi",*,30,2-6,0-0,0-0,4-6,10,1,3,3,0,2,4
Loyola Maryland 60,Delaware St. 51,13,"13 Tañedo, Caramina",*,19,0-3,0-2,0-0,0-2,2,0,0,1,0,0,0
Loyola Maryland 60,Delaware St. 51,02,"02 Van-Otoo, Meliah",,19,3-5,0-1,1-2,0-2,2,2,3,2,1,4,7
Loyola Maryland 60,Delaware St. 51,12,"12 Garcia, Cristina",,28,1-3,0-1,2-2,2-2,4,3,3,2,0,0,4
Loyola Maryland 60,Delaware St. 51,11,"11 Glezen, Emma",,15,2-2,0-0,0-0,1-0,1,5,0,1,0,0,4
Loyola Maryland 60,Delaware St. 51,23,"23 Espinal, Marta",,12,1-1,0-0,0-0,0-0,0,2,0,3,1,0,2
Loyola Maryland 60,Delaware St. 51,TM,TM TEAM,,0,0-0,0-0,0-0,0-2,2,0,0,0,0,0,0
Toledo 62,Loyola Maryland 40,05,"05 Lockett,Quinesha",*,29,7-11,3-4,0-0,0-1,1,1,5,1,0,1,17
Toledo 62,Loyola Maryland 40,34,"34 Cook,Jessica",*,16,4-6,0-0,2-2,2-5,7,2,0,3,0,0,10
Toledo 62,Loyola Maryland 40,33,"33 Mikonowicz,Sammi",*,31,3-9,1-2,1-2,4-4,8,3,3,2,0,0,8
Toledo 62,Loyola Maryland 40,22,"22 Goss,Khera",*,26,1-5,0-2,0-0,1-1,2,3,0,1,0,0,2
Toledo 62,Loyola Maryland 40,02,"02 Wiard,Sophia",*,27,0-5,0-3,0-0,0-3,3,2,5,1,1,1,0
Toledo 62,Loyola Maryland 40,10,"10 King,Justina",,14,3-3,1-1,2-2,0-1,1,1,2,0,0,1,9
Toledo 62,Loyola Maryland 40,12,"12 Jansen,Jayda",,19,3-4,2-2,0-0,1-1,2,2,1,1,0,0,8
Toledo 62,Loyola Maryland 40,13,"13 Brewer,Lonasia",,5,2-3,0-0,1-2,0-1,1,2,0,2,1,0,5
Toledo 62,Loyola Maryland 40,01,"01 Garcia,Nan",,18,0-5,0-1,3-4,0-3,3,1,0,1,1,0,3
Toledo 62,Loyola Maryland 40,24,"24 Curry,Yaniah",,10,0-2,0-0,0-0,0-0,0,0,0,0,0,0,0
Toledo 62,Loyola Maryland 40,04,"04 Barnes,Soleil",,5,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
Toledo 62,Loyola Maryland 40,TM,TM TEAM,,0,0-0,0-0,0-0,0-2,2,0,0,0,0,0,0
Loyola Maryland 40,Toledo 62,45,"45 Therien, Lex",*,30,6-14,0-1,0-1,3-7,10,4,1,4,0,1,12
Loyola Maryland 40,Toledo 62,22,"22 Rozzi, Bri",*,31,2-8,1-4,3-4,0-3,3,3,2,2,0,0,8
Loyola Maryland 40,Toledo 62,10,"10 Sims, Koi",*,29,3-5,0-0,0-0,2-7,9,3,1,6,1,0,6
Loyola Maryland 40,Toledo 62,13,"13 Tañedo, Caramina",*,30,1-5,1-3,0-0,0-2,2,1,0,2,0,0,3
Loyola Maryland 40,Toledo 62,12,"12 Garcia, Cristina",*,22,1-6,0-1,1-2,3-1,4,2,2,1,0,2,3
Loyola Maryland 40,Toledo 62,02,"02 Van-Otoo, Meliah",,22,1-3,0-1,3-4,0-0,0,2,0,2,0,0,5
Loyola Maryland 40,Toledo 62,01,"01 Ratigan, Kelly",,17,1-5,1-3,0-0,0-2,2,1,1,2,0,0,3
Loyola Maryland 40,Toledo 62,23,"23 Espinal, Marta",,10,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0
Loyola Maryland 40,Toledo 62,11,"11 Glezen, Emma",,9,0-0,0-0,0-0,0-0,0,3,0,1,0,0,0
Loyola Maryland 40,Toledo 62,TM,TM TEAM,,0,0-0,0-0,0-0,1-1,2,0,0,2,0,0,0
Loyola Maryland 66,Mount St. Mary's 73,04,"04 Dixon, Taleah",*,34,7-12,3-4,1-2,0-0,0,3,4,3,0,1,18
Loyola Maryland 66,Mount St. Mary's 73,45,"45 Therien, Lex",*,35,8-14,0-0,0-0,3-7,10,0,3,4,1,1,16
Loyola Maryland 66,Mount St. Mary's 73,22,"22 Rozzi, Bri",*,32,5-10,2-6,0-0,0-3,3,4,4,6,0,0,12
Loyola Maryland 66,Mount St. Mary's 73,10,"10 Sims, Koi",*,29,4-7,0-0,3-5,4-3,7,0,3,3,0,0,11
Loyola Maryland 66,Mount St. Mary's 73,13,"13 Tañedo, Caramina",*,32,2-3,2-3,0-0,0-2,2,2,1,1,0,1,6
Loyola Maryland 66,Mount St. Mary's 73,02,"02 Van-Otoo, Meliah",,20,1-1,0-0,1-2,0-1,1,3,2,3,0,1,3
Loyola Maryland 66,Mount St. Mary's 73,01,"01 Ratigan, Kelly",,5,0-1,0-0,0-0,0-0,0,0,0,1,0,0,0
Loyola Maryland 66,Mount St. Mary's 73,11,"11 Glezen, Emma",,5,0-2,0-0,0-0,0-0,0,0,0,1,0,0,0
Loyola Maryland 66,Mount St. Mary's 73,23,"23 Espinal, Marta",,5,0-0,0-0,0-0,0-1,1,2,0,0,0,0,0
Loyola Maryland 66,Mount St. Mary's 73,12,"12 Garcia, Cristina",,3,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
Loyola Maryland 66,Mount St. Mary's 73,TM,TM TEAM,,0,0-0,0-0,0-0,2-4,6,0,0,1,0,0,0
